Country Code,Tone,Month,Day,Year,Date,Lat,Lon,Country,Distance
GM,-1.6129,03,24,2021,03/24/2021,51.17,10.45,Germany,1411
GM,-1.9616,03,25,2021,03/25/2021,51.17,10.45,Germany,1411
GM,-2.3258,03,26,2021,03/26/2021,51.17,10.45,Germany,1411
GM,-1.8076,03,27,2021,03/27/2021,51.17,10.45,Germany,1411
GM,-1.7238,03,28,2021,03/28/2021,51.17,10.45,Germany,1411
GM,-1.5873,03,29,2021,03/29/2021,51.17,10.45,Germany,1411
GM,-1.8317,03,30,2021,03/30/2021,51.17,10.45,Germany,1411
GM,-2.0533,03,31,2021,03/31/2021,51.17,10.45,Germany,1411
GM,-3.3403,04,01,2021,04/01/2021,51.17,10.45,Germany,1411
GM,-3.6844,04,02,2021,04/02/2021,51.17,10.45,Germany,1411
GM,-3.1134,04,03,2021,04/03/2021,51.17,10.45,Germany,1411
GM,-3.1184,04,04,2021,04/04/2021,51.17,10.45,Germany,1411
GM,-3.8806,04,05,2021,04/05/2021,51.17,10.45,Germany,1411
GM,-3.5402,04,06,2021,04/06/2021,51.17,10.45,Germany,1411
GM,-3.7362,04,07,2021,04/07/2021,51.17,10.45,Germany,1411
GM,-3.1687,04,08,2021,04/08/2021,51.17,10.45,Germany,1411
GM,-2.7418,04,09,2021,04/09/2021,51.17,10.45,Germany,1411
GM,-3.3153,04,10,2021,04/10/2021,51.17,10.45,Germany,1411
GM,-3.7533,04,11,2021,04/11/2021,51.17,10.45,Germany,1411
GM,-2.341,04,12,2021,04/12/2021,51.17,10.45,Germany,1411
GM,-3.142,04,13,2021,04/13/2021,51.17,10.45,Germany,1411
GM,-2.7315,04,14,2021,04/14/2021,51.17,10.45,Germany,1411
GM,-3.2156,04,15,2021,04/15/2021,51.17,10.45,Germany,1411
GM,-3.1169,04,16,2021,04/16/2021,51.17,10.45,Germany,1411
GM,-3.4132,04,17,2021,04/17/2021,51.17,10.45,Germany,1411
GM,-3.0685,04,18,2021,04/18/2021,51.17,10.45,Germany,1411
GM,-3.6282,04,19,2021,04/19/2021,51.17,10.45,Germany,1411
GM,-3.6095,04,20,2021,04/20/2021,51.17,10.45,Germany,1411
GM,-3.744,04,21,2021,04/21/2021,51.17,10.45,Germany,1411
GM,-3.2823,04,22,2021,04/22/2021,51.17,10.45,Germany,1411
GM,-2.503,04,23,2021,04/23/2021,51.17,10.45,Germany,1411
GM,-2.4258,04,24,2021,04/24/2021,51.17,10.45,Germany,1411
GM,-2.3579,04,25,2021,04/25/2021,51.17,10.45,Germany,1411
GM,-2.8611,04,26,2021,04/26/2021,51.17,10.45,Germany,1411
GM,-2.461,04,27,2021,04/27/2021,51.17,10.45,Germany,1411
GM,-2.973,04,28,2021,04/28/2021,51.17,10.45,Germany,1411
GM,-2.9771,04,29,2021,04/29/2021,51.17,10.45,Germany,1411
GM,-3.5248,04,30,2021,04/30/2021,51.17,10.45,Germany,1411
GM,-3.2381,05,01,2021,05/01/2021,51.17,10.45,Germany,1411
GM,-5.2053,05,02,2021,05/02/2021,51.17,10.45,Germany,1411
GM,-2.4287,05,03,2021,05/03/2021,51.17,10.45,Germany,1411
GM,-1.2342,05,04,2021,05/04/2021,51.17,10.45,Germany,1411
GM,-2.0616,05,05,2021,05/05/2021,51.17,10.45,Germany,1411
GM,-1.7774,05,06,2021,05/06/2021,51.17,10.45,Germany,1411
GM,-3.0985,05,07,2021,05/07/2021,51.17,10.45,Germany,1411
GM,-2.7566,05,08,2021,05/08/2021,51.17,10.45,Germany,1411
GM,-4.3609,05,09,2021,05/09/2021,51.17,10.45,Germany,1411
GM,-2.1242,05,10,2021,05/10/2021,51.17,10.45,Germany,1411
GM,-1.733,05,11,2021,05/11/2021,51.17,10.45,Germany,1411
GM,-2.4538,05,12,2021,05/12/2021,51.17,10.45,Germany,1411
GM,-2.004,05,13,2021,05/13/2021,51.17,10.45,Germany,1411
GM,-2.8672,05,14,2021,05/14/2021,51.17,10.45,Germany,1411
GM,-2.6547,05,15,2021,05/15/2021,51.17,10.45,Germany,1411
GM,-2.6331,05,16,2021,05/16/2021,51.17,10.45,Germany,1411
GM,-2.151,05,17,2021,05/17/2021,51.17,10.45,Germany,1411
GM,-1.1936,05,18,2021,05/18/2021,51.17,10.45,Germany,1411
GM,-0.8149,05,19,2021,05/19/2021,51.17,10.45,Germany,1411
GM,-1.5661,05,20,2021,05/20/2021,51.17,10.45,Germany,1411
GM,-1.5833,05,21,2021,05/21/2021,51.17,10.45,Germany,1411
GM,0.8864,05,22,2021,05/22/2021,51.17,10.45,Germany,1411
GM,-0.774,05,23,2021,05/23/2021,51.17,10.45,Germany,1411
GM,-1.9646,05,24,2021,05/24/2021,51.17,10.45,Germany,1411
GM,-3.8527,05,25,2021,05/25/2021,51.17,10.45,Germany,1411
GM,-3.2094,05,26,2021,05/26/2021,51.17,10.45,Germany,1411
GM,-2.4142,05,27,2021,05/27/2021,51.17,10.45,Germany,1411
GM,-2.2713,05,28,2021,05/28/2021,51.17,10.45,Germany,1411
GM,-1.1386,05,29,2021,05/29/2021,51.17,10.45,Germany,1411
GM,-2.9669,05,30,2021,05/30/2021,51.17,10.45,Germany,1411
GM,-2.7698,05,31,2021,05/31/2021,51.17,10.45,Germany,1411
GM,-0.8443,06,01,2021,06/01/2021,51.17,10.45,Germany,1411
GM,-1.4758,06,02,2021,06/02/2021,51.17,10.45,Germany,1411
GM,-2.2459,06,03,2021,06/03/2021,51.17,10.45,Germany,1411
GM,-1.7146,06,04,2021,06/04/2021,51.17,10.45,Germany,1411
GM,-3.6927,06,05,2021,06/05/2021,51.17,10.45,Germany,1411
GM,-1.6984,06,06,2021,06/06/2021,51.17,10.45,Germany,1411
GM,-3.4888,06,07,2021,06/07/2021,51.17,10.45,Germany,1411
GM,-2.0075,06,08,2021,06/08/2021,51.17,10.45,Germany,1411
GM,-1.7722,06,09,2021,06/09/2021,51.17,10.45,Germany,1411
GM,-1.2273,06,10,2021,06/10/2021,51.17,10.45,Germany,1411
GM,-1.4865,06,11,2021,06/11/2021,51.17,10.45,Germany,1411
GM,-0.6871,06,12,2021,06/12/2021,51.17,10.45,Germany,1411
GM,-2.3713,06,13,2021,06/13/2021,51.17,10.45,Germany,1411
GM,-0.7864,06,14,2021,06/14/2021,51.17,10.45,Germany,1411
GM,-1.5198,06,15,2021,06/15/2021,51.17,10.45,Germany,1411
GM,-2.4952,06,16,2021,06/16/2021,51.17,10.45,Germany,1411
GM,-0.3976,06,17,2021,06/17/2021,51.17,10.45,Germany,1411
GM,-2.9354,06,18,2021,06/18/2021,51.17,10.45,Germany,1411
GM,-2.7269,06,19,2021,06/19/2021,51.17,10.45,Germany,1411
GM,-2.7018,06,20,2021,06/20/2021,51.17,10.45,Germany,1411
GM,-1.1571,06,21,2021,06/21/2021,51.17,10.45,Germany,1411
GM,-2.7265,06,22,2021,06/22/2021,51.17,10.45,Germany,1411
GM,-2.4194,06,23,2021,06/23/2021,51.17,10.45,Germany,1411
GM,-2.2293,06,24,2021,06/24/2021,51.17,10.45,Germany,1411
GM,-2.6673,06,25,2021,06/25/2021,51.17,10.45,Germany,1411
GM,-1.4175,06,26,2021,06/26/2021,51.17,10.45,Germany,1411
GM,-2.6927,06,27,2021,06/27/2021,51.17,10.45,Germany,1411
GM,-1.9395,06,28,2021,06/28/2021,51.17,10.45,Germany,1411
GM,-1.9756,06,29,2021,06/29/2021,51.17,10.45,Germany,1411
GM,-0.9939,06,30,2021,06/30/2021,51.17,10.45,Germany,1411
GM,-1.2469,07,01,2021,07/01/2021,51.17,10.45,Germany,1411
GM,-1.5935,07,02,2021,07/02/2021,51.17,10.45,Germany,1411
GM,-1.3078,07,03,2021,07/03/2021,51.17,10.45,Germany,1411
GM,-1.1264,07,04,2021,07/04/2021,51.17,10.45,Germany,1411
GM,-2.1789,07,05,2021,07/05/2021,51.17,10.45,Germany,1411
GM,-2.3193,07,06,2021,07/06/2021,51.17,10.45,Germany,1411
GM,-1.5856,07,07,2021,07/07/2021,51.17,10.45,Germany,1411
GM,-1.3195,07,08,2021,07/08/2021,51.17,10.45,Germany,1411
GM,-1.524,07,09,2021,07/09/2021,51.17,10.45,Germany,1411
GM,-1.8356,07,10,2021,07/10/2021,51.17,10.45,Germany,1411
GM,-1.3928,07,11,2021,07/11/2021,51.17,10.45,Germany,1411
GM,-1.879,07,12,2021,07/12/2021,51.17,10.45,Germany,1411
GM,-0.8751,07,13,2021,07/13/2021,51.17,10.45,Germany,1411
GM,-1.5013,07,14,2021,07/14/2021,51.17,10.45,Germany,1411
GM,-1.2219,07,15,2021,07/15/2021,51.17,10.45,Germany,1411
GM,-0.9837,07,16,2021,07/16/2021,51.17,10.45,Germany,1411
GM,-1.4842,07,17,2021,07/17/2021,51.17,10.45,Germany,1411
GM,-2.7019,07,18,2021,07/18/2021,51.17,10.45,Germany,1411
GM,-2.0428,07,19,2021,07/19/2021,51.17,10.45,Germany,1411
GM,-1.0085,07,20,2021,07/20/2021,51.17,10.45,Germany,1411
GM,0.0271,07,21,2021,07/21/2021,51.17,10.45,Germany,1411
GM,-1.1931,07,22,2021,07/22/2021,51.17,10.45,Germany,1411
GM,-1.3268,07,23,2021,07/23/2021,51.17,10.45,Germany,1411
GM,-0.9328,07,24,2021,07/24/2021,51.17,10.45,Germany,1411
GM,-0.3402,07,25,2021,07/25/2021,51.17,10.45,Germany,1411
GM,-1.7866,07,26,2021,07/26/2021,51.17,10.45,Germany,1411
GM,-2.7491,07,27,2021,07/27/2021,51.17,10.45,Germany,1411
GM,-1.5212,07,28,2021,07/28/2021,51.17,10.45,Germany,1411
GM,-1.7855,07,29,2021,07/29/2021,51.17,10.45,Germany,1411
GM,-1.4992,07,30,2021,07/30/2021,51.17,10.45,Germany,1411
GM,-3.0758,07,31,2021,07/31/2021,51.17,10.45,Germany,1411
GM,-1.2429,08,01,2021,08/01/2021,51.17,10.45,Germany,1411
GM,-3.1594,08,02,2021,08/02/2021,51.17,10.45,Germany,1411
GM,-3.3909,08,03,2021,08/03/2021,51.17,10.45,Germany,1411
GM,-3.0548,08,04,2021,08/04/2021,51.17,10.45,Germany,1411
GM,-2.3684,08,05,2021,08/05/2021,51.17,10.45,Germany,1411
GM,-2.3984,08,06,2021,08/06/2021,51.17,10.45,Germany,1411
GM,-2.4845,08,07,2021,08/07/2021,51.17,10.45,Germany,1411
GM,-2.5667,08,08,2021,08/08/2021,51.17,10.45,Germany,1411
GM,-2.9836,08,09,2021,08/09/2021,51.17,10.45,Germany,1411
GM,-2.5571,08,10,2021,08/10/2021,51.17,10.45,Germany,1411
GM,-2.1549,08,11,2021,08/11/2021,51.17,10.45,Germany,1411
GM,-2.0398,08,12,2021,08/12/2021,51.17,10.45,Germany,1411
GM,-1.6571,08,13,2021,08/13/2021,51.17,10.45,Germany,1411
GM,-2.762,08,14,2021,08/14/2021,51.17,10.45,Germany,1411
GM,-3.3907,08,15,2021,08/15/2021,51.17,10.45,Germany,1411
GM,-2.4747,08,16,2021,08/16/2021,51.17,10.45,Germany,1411
GM,-1.6722,08,17,2021,08/17/2021,51.17,10.45,Germany,1411
